# ./FR-trace starting at Fri Nov  2 19:43:34 2018
################# CONFIG #################
# slot=5400
# samples=10000
# threshold=100
# idle=500
# pdathreads=0
# nmonitored=3
#   monitor0=./num ybn_mul 0x22ea
#   monitor1=./num ybn_sqr 0x2b7d
#   monitor2=./num ybn_modexp 0x2d9f
# nevicted=0
# npdatargets=0
############## SYSTEM INFO ###############
# mastik_version=0.02
# sysname=Linux
# nodename=ArchLinux
# release=4.18.16-arch1-1-ARCH
# version=#1 SMP PREEMPT Sat Oct 20 22:06:45 UTC 2018
# machine=x86_64
################## DATA ##################
208 482 559 
181 202 187 
205 188 190 
205 199 190 
208 199 179 
205 199 179 
205 202 187 
205 199 190 
205 199 187 
202 199 187 
202 202 187 
205 199 190 
208 199 190 
194 199 193 
779 196 193 
208 199 193 
205 199 176 
205 199 179 
508 252 446 
205 196 190 
205 196 190 
205 199 187 
202 199 187 
202 202 187 
342 903 710 
191 196 190 
194 199 193 
202 199 190 
194 202 190 
885 199 187 
208 185 179 
252 199 193 
205 196 190 
205 196 190 
205 199 187 
202 199 187 
202 202 187 
205 199 190 
208 199 190 
194 199 193 
205 199 190 
191 199 190 
205 199 176 
205 199 179 
205 199 179 
205 199 187 
380 199 193 
321 202 288 
205 199 190 
205 199 190 
208 199 187 
205 199 190 
479 377 802 
208 188 190 
205 188 190 
205 188 179 
205 188 193 
205 202 190 
205 202 187 
205 196 208 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
282 211 182 
86 243 196 
0 0 0 
0 0 0 
419 199 182 
181 196 193 
208 202 190 
208 196 190 
348 597 365 
66 66 69 
205 199 80 
630 199 83 
208 196 83 
208 199 80 
208 196 83 
208 196 83 
208 188 72 
205 196 83 
208 202 83 
208 202 80 
208 196 83 
208 199 83 
205 368 83 
811 199 80 
205 199 83 
205 199 80 
728 199 83 
208 196 83 
208 196 83 
208 188 72 
205 196 83 
208 202 83 
419 249 80 
205 199 80 
208 199 80 
205 199 80 
205 199 80 
202 199 83 
205 199 80 
208 199 83 
211 202 83 
864 199 83 
208 188 72 
202 202 80 
208 202 83 
208 202 80 
208 196 83 
208 199 83 
205 199 80 
205 199 80 
205 199 80 
205 199 83 
205 199 83 
205 199 83 
610 476 69 
252 327 80 
208 185 72 
208 202 83 
303 202 80 
205 199 83 
208 199 83 
208 199 80 
205 199 80 
205 199 80 
205 199 83 
205 199 83 
339 933 83 
205 185 69 
205 185 72 
208 185 72 
208 202 83 
208 202 80 
208 196 83 
440 202 80 
211 199 80 
205 199 80 
205 199 80 
205 199 80 
494 372 72 
170 202 72 
191 199 83 
205 199 69 
205 196 72 
205 196 72 
208 199 83 
208 202 80 
205 199 80 
205 199 80 
63 244 80 
205 199 187 
208 199 187 
205 199 193 
211 202 193 
208 185 190 
208 188 179 
205 185 193 
208 202 190 
208 202 187 
208 196 190 
205 199 193 
205 199 190 
205 199 190 
185 348 695 
666 202 187 
208 196 190 
208 196 190 
208 196 193 
205 199 176 
205 196 179 
205 196 179 
205 199 190 
205 202 187 
205 199 187 
202 199 190 
208 199 190 
208 199 187 
205 199 187 
205 199 193 
770 202 187 
208 196 190 
208 188 190 
297 647 300 
208 202 190 
208 202 187 
208 196 190 
208 199 193 
805 704 262 
208 199 190 
208 199 187 
205 199 187 
205 199 193 
208 202 193 
205 185 190 
909 202 187 
205 202 187 
267 199 193 
205 202 187 
208 196 190 
208 199 193 
205 199 190 
205 199 190 
208 199 193 
205 199 190 
208 199 193 
208 202 193 
211 196 190 
181 196 190 
208 185 193 
208 202 190 
1067 375 321 
181 199 190 
205 199 193 
205 199 190 
205 199 190 
205 199 187 
205 199 187 
547 264 502 
194 199 190 
208 196 193 
205 199 176 
205 196 179 
205 196 179 
205 199 190 
205 202 187 
205 199 187 
511 199 193 
205 202 187 
205 199 190 
208 196 190 
208 196 190 
208 196 190 
208 196 193 
205 199 176 
205 196 437 
178 199 190 
205 199 190 
205 202 187 
205 199 187 
202 199 190 
208 199 190 
624 199 193 
194 199 190 
208 196 190 
208 196 190 
205 199 190 
205 199 176 
205 196 179 
205 196 654 
208 469 202 
205 199 187 
208 199 190 
205 202 190 
208 199 190 
208 199 187 
205 199 187 
731 199 193 
208 196 190 
194 196 193 
205 199 434 
178 202 190 
205 199 187 
205 202 190 
205 202 187 
205 199 187 
202 199 190 
208 199 190 
208 199 187 
205 199 187 
205 199 193 
208 202 193 
864 199 193 
208 196 190 
199 202 187 
208 202 190 
208 202 187 
208 196 190 
205 199 193 
205 199 190 
205 199 190 
205 199 187 
743 324 190 
202 199 193 
235 324 190 
205 199 190 
205 199 176 
205 196 179 
205 196 179 
321 202 187 
205 199 190 
208 199 193 
357 268 918 
205 199 190 
205 199 187 
205 199 187 
205 199 193 
208 202 193 
205 185 190 
208 188 179 
208 185 193 
208 202 190 
208 202 187 
208 196 190 
440 202 187 
211 199 190 
205 199 190 
205 199 187 
384 592 179 
202 199 193 
205 199 190 
194 199 193 
205 199 176 
205 196 179 
205 196 179 
413 229 357 
606 202 190 
208 199 190 
208 199 190 
541 202 187 
208 202 187 
194 199 190 
208 196 190 
208 196 190 
208 196 193 
205 199 176 
205 196 179 
205 196 179 
205 199 190 
205 202 187 
205 199 187 
202 199 190 
208 199 190 
208 199 187 
283 250 193 
205 199 193 
208 202 193 
205 185 190 
208 188 179 
205 185 193 
208 202 190 
208 202 187 
208 196 190 
205 199 193 
205 199 190 
205 199 190 
205 199 187 
458 214 913 
194 199 193 
779 202 187 
208 196 190 
208 188 190 
208 188 193 
208 202 190 
208 202 187 
208 196 190 
208 199 193 
205 199 190 
205 199 190 
547 199 193 
205 199 190 
194 199 193 
205 199 190 
191 199 193 
885 199 190 
208 196 179 
255 199 193 
205 199 190 
205 202 190 
205 202 187 
208 199 190 
205 199 190 
205 199 190 
439 339 734 
208 196 190 
205 199 187 
208 185 179 
208 185 179 
208 185 193 
695 202 746 
205 196 190 
380 199 193 
208 199 193 
205 199 190 
496 755 187 
205 199 190 
208 196 190 
208 196 190 
208 196 190 
208 196 193 
205 199 176 
205 196 179 
205 196 179 
205 199 190 
205 202 187 
205 199 187 
511 199 193 
205 202 187 
205 199 190 
208 196 190 
208 196 190 
194 196 190 
208 196 193 
205 199 176 
205 196 179 
205 196 176 
529 1153 384 
205 199 190 
205 199 187 
202 199 190 
205 199 190 
615 199 193 
194 199 190 
208 196 190 
466 900 392 
77 237 190 
77 66 83 
208 185 72 
205 199 83 
205 196 83 
205 199 80 
205 196 83 
208 199 80 
208 202 80 
208 199 80 
205 199 83 
737 199 83 
208 196 83 
208 196 83 
208 188 72 
502 416 83 
205 202 83 
208 202 83 
208 196 83 
208 199 83 
208 199 80 
205 199 80 
208 199 83 
205 199 80 
208 199 83 
211 202 83 
864 199 83 
208 188 72 
202 202 80 
208 202 83 
208 202 80 
208 196 83 
208 199 83 
208 199 80 
205 199 80 
205 199 80 
208 199 80 
208 199 83 
211 202 83 
282 740 72 
208 188 72 
205 196 83 
484 3138 80 
594 199 83 
205 199 80 
205 199 83 
205 202 83 
205 199 80 
208 199 80 
205 199 83 
205 199 83 
205 199 83 
191 199 83 
205 199 69 
205 196 72 
205 196 72 
208 199 83 
208 202 80 
425 202 80 
211 199 80 
205 199 80 
205 199 80 
205 199 83 
627 214 80 
205 199 80 
208 185 72 
205 185 72 
208 185 72 
446 470 80 
208 199 83 
205 202 80 
205 199 80 
205 199 80 
553 202 80 
208 199 80 
191 199 83 
194 199 83 
205 199 83 
194 199 83 
77 226 72 
208 196 179 
208 196 179 
205 199 190 
80 226 187 
205 196 193 
208 199 190 
205 199 190 
262 202 481 
675 202 187 
208 196 190 
208 196 190 
208 196 193 
205 199 176 
205 196 179 
205 196 179 
205 199 190 
205 202 187 
205 199 187 
202 199 190 
283 458 454 
208 196 190 
205 199 190 
194 199 193 
779 202 187 
208 196 190 
208 188 190 
208 188 193 
208 202 190 
208 202 190 
208 196 190 
208 199 193 
214 416 190 
208 202 187 
205 199 190 
